,DATE,gRPCEB4,gRPCEB3,gRPCEB2,gRPCEB1,gRPCEF0,gRPCEF1,gRPCEF2,gRPCEF3,gRPCEF4,gRPCEF5,gRPCEF6,gRPCEF7,gRPCEF8,gRPCEF9,GBdate
0,1978.2,,3.0,9.3,-1.0,5.5,2.9,3.0,5.0,3.9,,,,,,19780614
1,1978.3,,,-0.9,6.2,2.6,3.0,4.9,3.8,3.0,2.7,,,,,19780712
2,1978.3,,,-1.4,6.1,2.5,2.9,5.0,3.9,3.1,2.6,,,,,19780809
3,1978.3,,,-1.4,6.5,1.2,3.0,5.0,3.9,3.1,2.7,,,,,19780913
4,1978.4,,-1.4,6.0,1.7,3.0,4.7,3.7,3.2,2.6,,,,,,19781011
5,1978.4,,-1.4,6.0,3.4,2.8,3.8,3.2,2.0,1.5,,,,,,19781115
6,1978.4,,-1.4,6.0,4.2,5.2,3.2,3.0,1.7,1.2,,,,,,19781213
7,1979.1,-1.4,6.0,4.1,6.8,3.2,3.0,1.8,1.4,1.0,1.2,1.6,1.8,,,19790131
8,1979.1,-1.4,6.0,4.1,8.0,1.1,2.7,1.3,1.3,0.8,1.1,1.5,1.8,,,19790314
9,1979.2,6.0,4.1,7.6,0.2,2.6,1.4,1.2,0.8,1.0,1.3,1.5,,,,19790411
10,1979.2,6.0,4.1,7.6,1.8,2.0,1.3,1.1,0.8,1.0,1.3,1.5,,,,19790516
11,1979.3,4.1,7.6,0.7,-3.9,-0.5,-0.3,0.6,0.7,1.1,1.3,,,,,19790703
12,1979.3,4.8,6.8,0.6,-3.6,-0.8,-0.4,0.5,0.7,1.0,1.3,,,,,19790808
13,1979.3,4.8,6.8,0.6,3.0,1.1,-1.1,0.0,0.4,0.6,0.9,,,,,19790912
14,1979.4,6.8,0.6,-2.9,2.2,-2.8,-1.3,-0.7,0.1,0.4,,,,,,19791012
15,1979.4,6.8,0.6,-2.9,4.3,-2.0,-3.7,-2.1,-0.6,0.0,,,,,,19791114
16,1980.1,0.6,-2.9,4.9,2.9,-3.7,-3.3,-3.0,-1.4,-1.1,-0.3,0.4,1.3,,,19800103
17,1980.1,0.6,-2.9,4.9,4.1,-2.0,-2.1,-3.0,-3.6,-2.3,-1.2,0.4,1.1,,,19800130
18,1980.1,0.6,-2.9,4.9,4.4,2.2,-1.3,-4.3,-4.3,-3.9,-1.8,0.6,1.2,,,19800314
19,1980.2,-2.9,4.9,4.1,1.2,-3.4,-4.1,-3.7,-3.4,-1.6,0.3,0.8,,,,19800416
20,1980.2,-2.9,4.9,4.1,1.6,-6.3,-4.1,-3.6,-2.3,-0.1,0.7,0.9,,,,19800514
21,1980.3,4.9,4.1,0.5,-11.3,-2.9,-1.3,1.3,1.2,1.4,1.2,,,,,19800702
22,1980.3,4.9,4.1,0.5,-9.4,-2.1,-1.3,1.4,1.4,1.4,1.3,,,,,19800806
23,1980.3,4.9,4.1,0.5,-9.8,-0.3,-0.1,1.0,1.2,1.3,1.3,,,,,19800910
24,1980.4,4.1,0.5,-10.6,4.8,1.0,0.0,1.1,0.5,0.6,,,,,,19801015
