,YEAR,QUARTER,drconsum2,drconsum3,drconsum4,drconsum5,drconsum6
0,1968,4,,,,,
1,1969,1,,,,,
2,1969,2,,,,,
3,1969,3,,,,,
4,1969,4,,,,,
5,1970,1,,,,,
6,1970,2,,,,,
7,1970,3,,,,,
8,1970,4,,,,,
9,1971,1,,,,,
10,1971,2,,,,,
11,1971,3,,,,,
12,1971,4,,,,,
13,1972,1,,,,,
14,1972,2,,,,,
15,1972,3,,,,,
16,1972,4,,,,,
17,1973,1,,,,,
18,1973,2,,,,,
19,1973,3,,,,,
20,1973,4,,,,,
21,1974,1,,,,,
22,1974,2,,,,,
23,1974,3,,,,,
24,1974,4,,,,,
25,1975,1,,,,,
26,1975,2,,,,,
27,1975,3,,,,,
28,1975,4,,,,,
29,1976,1,,,,,
30,1976,2,,,,,
31,1976,3,,,,,
32,1976,4,,,,,
33,1977,1,,,,,
34,1977,2,,,,,
35,1977,3,,,,,
36,1977,4,,,,,
37,1978,1,,,,,
38,1978,2,,,,,
39,1978,3,,,,,
40,1978,4,,,,,
41,1979,1,,,,,
42,1979,2,,,,,
43,1979,3,,,,,
44,1979,4,,,,,
45,1980,1,,,,,
46,1980,2,,,,,
47,1980,3,,,,,
48,1980,4,,,,,
49,1981,1,,,,,
50,1981,2,,,,,
51,1981,3,3.5359,3.2081,3.1474,3.1577,3.6362
52,1981,4,-0.3125,0.5583,2.2234,5.6783,4.0884
53,1982,1,1.6323,2.2189,3.8815,3.6728,2.4945
54,1982,2,0.1464,3.3937,3.2165,3.3628,2.9697
55,1982,3,3.5141,3.5468,2.6633,2.6178,3.2936
56,1982,4,2.4886,2.6198,2.8883,3.2865,3.8555
57,1983,1,2.4253,2.9066,3.5972,3.8421,3.3688
58,1983,2,3.8633,4.3139,3.9194,3.7224,3.5569
59,1983,3,5.0091,4.9958,3.7221,3.6424,3.5795
60,1983,4,5.3056,3.6743,3.2217,3.2588,3.4824
61,1984,1,4.9185,3.81,3.1313,3.3192,2.6678
62,1984,2,4.1213,3.6184,3.2871,2.6159,2.3353
63,1984,3,4.6507,4.1762,2.423,3.2349,2.4837
64,1984,4,4.3077,3.5926,3.4189,3.0315,2.7465
65,1985,1,5.0693,4.0656,3.5973,3.6005,3.1092
66,1985,2,3.6481,3.1638,3.1081,2.7537,2.6495
67,1985,3,2.5019,2.6088,2.8355,2.468,2.2697
68,1985,4,0.4309,2.6584,2.2604,2.3377,2.0738
69,1986,1,4.6503,2.8243,2.6265,2.5291,1.9273
70,1986,2,2.7678,3.335,2.4634,2.6095,2.5631
71,1986,3,2.6851,2.1379,3.1058,2.1433,2.3791
72,1986,4,-0.3348,2.0982,2.4267,2.7763,2.7054
73,1987,1,1.646,1.1864,1.1625,1.7526,1.234
74,1987,2,2.6683,2.6506,2.0682,2.5198,2.5395
75,1987,3,3.8957,2.1961,2.6082,1.9682,2.2389
76,1987,4,0.2296,1.8918,0.8365,2.4933,1.5147
77,1988,1,3.3406,0.7754,2.0557,1.2467,2.1027
78,1988,2,2.5314,2.0082,1.523,2.1685,1.97
79,1988,3,2.4552,1.7817,1.3799,2.5042,1.911
80,1988,4,2.3143,2.2053,2.4908,2.1443,1.5935
81,1989,1,1.576,2.3285,1.8335,1.4777,1.6719
82,1989,2,3.4425,1.9093,2.5905,3.0448,1.7207
83,1989,3,2.5812,1.9768,0.7815,3.0089,1.7827
84,1989,4,-0.2793,2.7447,1.4557,2.2862,2.1939
85,1990,1,2.9701,2.5966,3.0417,4.2402,2.9381
86,1990,2,2.3901,2.243,2.016,1.7666,2.2602
87,1990,3,1.9258,1.1515,1.4962,1.7495,2.8995
88,1990,4,-1.2253,-0.5211,0.5681,1.858,2.1582
89,1991,1,-1.3346,0.3159,1.8357,2.3685,2.5046
90,1991,2,1.0795,1.6859,2.3229,2.4167,2.3353
91,1991,3,2.218,1.9502,2.4246,2.6694,2.4771
92,1991,4,1.1865,2.1406,2.5386,2.584,2.8521
93,1992,1,1.3484,2.229,2.5848,2.6757,2.7909
94,1992,2,1.846,2.5884,2.6075,2.6045,2.6567
95,1992,3,2.3014,2.2149,2.4371,2.4816,2.5926
96,1992,4,2.3654,2.4226,2.1353,3.0243,2.791
97,1993,1,2.762,2.8627,3.1644,3.193,2.891
98,1993,2,2.9962,3.2075,3.0768,2.9019,2.6989
99,1993,3,2.9312,2.6754,2.591,2.4348,2.2922
100,1993,4,2.9923,2.2411,3.079,2.899,2.7705
101,1994,1,2.8159,2.8522,2.9687,2.8185,2.5332
102,1994,2,3.5593,2.9712,2.8412,2.5349,2.5736
