,date,Unemployment,real Consumption Growth,GB_UNEMPF2,GB_gRPCEF2,SPF_UNEMPF2,SPF_gRPCEF2
0,1982-01-01,8.833333333333334,2.9792241820509213,9.1,5.5,8.8818,3.8815
1,1982-04-01,9.433333333333334,1.2243149192025626,9.5,4.0,9.25,3.2165
2,1982-07-01,9.9,2.711789928610342,10.1,2.6,9.419,2.6633
3,1982-10-01,10.666666666666666,7.186115030806639,11.1,1.3,10.1447,2.8883
4,1983-01-01,10.366666666666667,4.012921235385281,10.3,4.1,10.1784,3.5972
5,1983-04-01,10.133333333333333,8.395720141181728,9.2,3.1,9.7385,3.9194
6,1983-07-01,9.366666666666667,7.376527641461461,8.9,2.7,9.0469,3.7221
7,1983-10-01,8.533333333333333,6.5184730842491545,8.0,3.6,8.5472,3.2217
8,1984-01-01,7.866666666666667,3.3705224375455423,6.9,2.5,7.7226,3.1313
9,1984-04-01,7.433333333333334,5.722603743471111,6.6,2.6,7.4143,3.2871
10,1984-07-01,7.433333333333334,2.9984818513552725,7.0,3.5,6.8846,2.423
11,1984-10-01,7.3,5.278265203826837,7.1,3.2,7.2774,3.4189
12,1985-01-01,7.233333333333333,6.972637557108419,6.9,3.5,6.9792,3.5973
13,1985-04-01,7.3,3.7276006517870552,7.1,2.1,7.1483,3.1081
14,1985-07-01,7.2,7.812076802054624,7.2,3.2,7.2355,2.8355
15,1985-10-01,7.033333333333334,0.8674730219463633,7.2,2.0,7.1,2.2604
16,1986-01-01,7.033333333333334,3.5458702058739355,6.8,3.4,6.7115,2.6265
17,1986-04-01,7.166666666666667,4.42505653440024,6.8,2.5,6.7893,2.4634
18,1986-07-01,6.966666666666666,7.262912082972872,6.7,2.6,6.9458,3.1058
19,1986-10-01,6.833333333333333,2.4795815750428662,6.9,2.6,6.9375,2.4267
20,1987-01-01,6.599999999999999,0.3719023463147897,6.7,1.5,6.7409,1.1625
21,1987-04-01,6.266666666666667,5.56686996240463,6.3,0.8,6.4643,2.0682
22,1987-07-01,6.0,4.645254717436598,5.9,1.9,5.9773,2.6082
23,1987-10-01,5.833333333333333,0.8441165384118765,6.3,0.5,6.1368,0.8365
24,1988-01-01,5.7,7.259301654435468,5.7,2.0,6.0333,2.0557
25,1988-04-01,5.466666666666666,2.98731313025824,5.7,2.2,5.4947,1.523
26,1988-07-01,5.466666666666666,3.60581706813492,5.5,1.7,5.4706,1.3799
27,1988-10-01,5.333333333333333,4.6261906206767955,5.3,2.4,5.4667,2.4908
28,1989-01-01,5.2,1.868681902571212,5.3,2.7,5.4235,1.8335
29,1989-04-01,5.233333333333333,1.8774159302136215,5.6,1.3,5.4765,2.5905
30,1989-07-01,5.233333333333333,3.930504054094008,5.4,2.6,5.4867,0.7815
31,1989-10-01,5.366666666666667,1.7475956220221578,5.8,2.0,5.6059,1.4557
32,1990-01-01,5.3,3.407440336477796,5.6,2.3,5.5357,3.0417
33,1990-04-01,5.333333333333333,1.226541444412188,5.8,1.7,5.4778,2.016
34,1990-07-01,5.7,1.5934938927986808,6.3,0.5,5.7769,1.4962
35,1990-10-01,6.133333333333333,-3.004895918337047,6.4,2.5,6.4467,0.5681
36,1991-01-01,6.6000000000000005,-1.4977269235420865,6.5,3.0,6.8377,1.8357
37,1991-04-01,6.833333333333333,3.3593021255603928,6.6,2.5,6.8369,2.3229
38,1991-07-01,6.866666666666667,2.005875650377109,6.7,2.5,6.6773,2.4246
39,1991-10-01,7.1000000000000005,-0.1987906285351948,7.2,1.9,6.7538,2.5386
40,1992-01-01,7.366666666666667,7.701749529077762,7.2,3.1,6.9225,2.5848
41,1992-04-01,7.6,2.7385819112092147,7.2,2.8,6.9027,2.6075
42,1992-07-01,7.633333333333333,4.363314851106437,7.8,1.8,7.2694,2.4371
43,1992-10-01,7.366666666666667,4.854030139704069,7.2,2.9,7.2179,2.1353
44,1993-01-01,7.133333333333333,1.5425924060215035,6.9,2.7,6.8939,3.1644
45,1993-04-01,7.066666666666666,3.688532246738818,6.9,2.0,6.725,3.0768
46,1993-07-01,6.8,4.523461269266993,6.7,2.2,6.7353,2.591
47,1993-10-01,6.633333333333333,3.5586164454481928,6.5,2.2,6.5375,3.079
48,1994-01-01,6.566666666666666,4.654828326361526,6.8,2.4,6.4321,2.9687
49,1994-04-01,6.2,3.145720449981204,6.3,2.3,6.2324,2.8412
50,1994-07-01,6.0,3.082772510545717,6.1,2.5,5.9931,2.4052
51,1994-10-01,5.633333333333333,4.399239177726977,5.5,2.4,5.763,2.6618
52,1995-01-01,5.466666666666666,0.9987068736241334,5.6,2.1,5.4586,2.5355
53,1995-04-01,5.666666666666667,3.5532906812403953,6.0,2.0,5.602,2.5775
54,1995-07-01,5.666666666666667,3.67168350849294,5.8,2.2,5.7271,2.4168
55,1995-10-01,5.566666666666666,2.824618113553212,5.6,2.3,5.65,2.3233
56,1996-01-01,5.533333333333334,3.737985098125729,5.6,2.7,5.7806,2.1419
57,1996-04-01,5.5,4.369604583985209,5.5,2.6,5.56,1.9657
58,1996-07-01,5.266666666666667,2.448019175202476,5.4,2.8,5.4456,2.1716
59,1996-10-01,5.333333333333333,3.225320267117171,5.2,3.0,5.3139,2.1308
60,1997-01-01,5.233333333333333,4.28289901771397,5.0,3.2,5.3237,2.2533
61,1997-04-01,5.0,1.8098775892803065,4.7,3.2,5.0775,2.6112
62,1997-07-01,4.866666666666667,6.993438195298385,4.6,3.3,4.8931,2.525
63,1997-10-01,4.666666666666667,4.868494531140399,4.6,3.8,4.7974,2.6371
64,1998-01-01,4.633333333333333,4.103624710702847,4.6,3.7,4.7031,2.7336
65,1998-04-01,4.3999999999999995,7.231956862982636,4.4,3.3,4.5828,3.0925
66,1998-07-01,4.533333333333333,5.320156935452913,4.7,2.7,4.5341,2.9398
67,1998-10-01,4.433333333333334,5.907566382485041,4.5,2.9,4.7203,2.3962
68,1999-01-01,4.3,4.1728241591777016,4.2,4.0,4.4303,2.6444
69,1999-04-01,4.266666666666667,6.267975501440315,4.1,4.4,4.3027,2.8438
70,1999-07-01,4.233333333333333,4.572335938532324,4.0,1.7,4.3568,2.6715
71,1999-10-01,4.066666666666666,5.980911742510608,4.0,5.2,4.2167,3.0829
72,2000-01-01,4.033333333333333,6.186023472003943,4.0,4.4,4.075,3.0737
73,2000-04-01,3.9333333333333336,3.7870386588738647,3.9,3.6,4.0029,3.2901
74,2000-07-01,4.0,3.889357491983203,4.1,3.6,4.1284,2.9475
75,2000-10-01,3.9,3.5375941905105623,4.4,3.0,4.1744,2.8866
76,2001-01-01,4.233333333333333,1.4611525122999236,4.9,2.0,4.5071,2.7958
77,2001-04-01,4.3999999999999995,0.8062112134359145,5.2,3.3,4.7727,2.5782
78,2001-07-01,4.833333333333333,1.4011496371611143,5.8,0.1,4.9121,2.6164
79,2001-10-01,5.5,6.609577316257909,6.1,4.3,6.0138,2.1271
80,2002-01-01,5.7,0.8957006192495509,5.6,2.8,5.9441,2.4756
81,2002-04-01,5.833333333333333,2.03618615287271,5.9,3.0,5.7361,2.952
82,2002-07-01,5.733333333333333,2.826681113649121,6.1,2.3,5.86,2.8941
83,2002-10-01,5.866666666666667,2.246402273974235,6.0,3.0,5.8029,2.8435
84,2003-01-01,5.866666666666667,1.9838205674353129,6.2,3.2,5.9081,2.9841
85,2003-04-01,6.133333333333333,4.656992415880867,6.1,4.6,5.9,3.2863
86,2003-07-01,6.133333333333333,5.777269033778931,6.1,4.7,6.0267,3.5236
87,2003-10-01,5.833333333333333,2.782731725018661,5.8,4.9,5.8491,3.4158
88,2004-01-01,5.7,3.783960580180112,5.5,4.4,5.5359,3.4784
89,2004-04-01,5.599999999999999,2.200583637721931,5.3,4.5,5.4116,3.185
90,2004-07-01,5.433333333333334,4.783442582247011,5.4,4.0,5.3418,3.2239
91,2004-10-01,5.433333333333334,4.599448598139366,5.3,4.1,5.2799,2.9611
92,2005-01-01,5.3,2.567240546798222,5.3,3.9,5.1888,3.1506
93,2005-04-01,5.1000000000000005,4.507541461428222,5.1,3.5,5.1209,3.1649
94,2005-07-01,4.966666666666667,3.358697602882388,5.0,4.3,4.9588,3.237
95,2005-10-01,4.966666666666667,0.7391804057343521,5.0,3.2,4.9466,3.1794
96,2006-01-01,4.733333333333333,4.4322043527381005,4.8,3.5,4.842,2.9571
97,2006-04-01,4.633333333333333,2.092301250720374,4.9,2.8,4.7352,2.9265
98,2006-07-01,4.633333333333334,2.590704712573455,4.9,2.5,4.8128,2.5821
99,2006-10-01,4.433333333333334,3.874559481063255,4.8,2.3,4.7556,2.4781
100,2007-01-01,4.5,2.4861076032302476,4.8,2.1,4.7055,2.7756
101,2007-04-01,4.5,1.054726153509011,4.7,2.3,4.688,2.6371
102,2007-07-01,4.666666666666667,2.6961929087873537,4.7,1.7,4.6827,2.4282
103,2007-10-01,4.8,1.5871671892782937,4.8,1.4,4.8924,2.1556
104,2008-01-01,5.0,-0.5477611380765413,5.5,1.9,5.2576,2.4965
105,2008-04-01,5.333333333333333,1.103828219843006,5.6,-3.8,5.4526,1.1857
106,2008-07-01,6.0,-3.0472357469624067,6.2,1.5,5.9235,1.0607
107,2008-10-01,6.866666666666667,-3.549402617547004,7.8,0.9,7.3931,0.8246
108,2009-01-01,8.266666666666667,-1.0109138794870187,9.0,0.0,8.6922,1.0169
109,2009-04-01,9.3,-1.9533578951662969,10.0,1.4,9.7309,1.5143
110,2009-07-01,9.633333333333333,2.7151617797142036,9.8,2.5,9.8659,1.693
111,2009-10-01,9.933333333333334,-0.4379225392797559,9.9,2.4,10.1528,1.9354
112,2010-01-01,9.833333333333334,2.339983387494504,9.6,2.7,9.7873,2.3565
113,2010-04-01,9.633333333333333,3.63621331402284,9.5,2.3,9.4073,2.759
114,2010-07-01,9.466666666666669,2.8808655675855777,9.6,2.1,9.387,2.3177
115,2010-10-01,9.5,2.4744451622578323,9.4,3.3,9.3942,2.3366
116,2011-01-01,9.033333333333331,1.535874807457871,8.7,3.5,9.0415,3.0052
117,2011-04-01,9.066666666666666,0.4121724509536628,8.9,2.4,8.4799,2.9024
118,2011-07-01,9.0,1.2250721520752128,9.1,1.7,8.8369,2.0366
119,2011-10-01,8.633333333333333,0.6925741453611245,8.8,2.2,8.8404,2.2962
120,2012-01-01,8.266666666666667,2.913801405110905,8.3,2.8,8.2193,2.4294
121,2012-04-01,8.2,0.7047705116586922,8.2,2.7,7.9298,2.4363
122,2012-07-01,8.033333333333333,0.813505557097538,8.2,1.1,8.0279,1.9357
123,2012-10-01,7.8,1.6056311969193215,7.9,2.6,7.8002,2.2686
124,2013-01-01,7.733333333333333,2.6251506241564027,7.6,2.5,7.6094,2.3343
125,2013-04-01,7.533333333333334,1.1478681758567475,7.3,3.6,7.4123,2.527
126,2013-07-01,7.233333333333333,1.638764335676246,7.0,3.3,7.2405,2.4682
127,2013-10-01,6.933333333333334,3.568208976235021,6.8,3.2,7.0016,2.5799
128,2014-01-01,6.666666666666667,1.4474848129830686,6.4,3.8,6.4625,2.7056
129,2014-04-01,6.2,3.895781561614653,6.0,4.1,6.1966,2.8856
130,2014-07-01,6.066666666666666,4.015724130990672,5.7,3.3,5.884,2.8155
131,2014-10-01,5.7,4.686387129102276,5.4,3.6,5.6667,2.6813
132,2015-01-01,5.533333333333334,3.104153125010911,5.2,3.9,5.36,3.0707
133,2015-04-01,5.433333333333334,2.7851067651949224,5.3,3.5,5.1839,3.0403
134,2015-07-01,5.1000000000000005,2.843369236985271,5.0,3.1,5.0505,2.8042
135,2015-10-01,5.033333333333333,1.639405116753645,4.8,3.6,4.8946,2.8311
136,2016-01-01,4.8999999999999995,3.054729623750041,4.8,2.8,4.7335,2.5864
137,2016-04-01,4.933333333333334,1.9980923977078735,4.8,2.5,4.7245,2.4775
138,2016-07-01,4.8999999999999995,2.810177333493802,4.8,2.7,4.7018,2.3227
139,2016-10-01,4.766666666666667,2.0781739873713567,4.7,2.6,4.7371,2.5345
140,2017-01-01,4.566666666666666,3.113089062998986,4.7,2.9,4.6036,2.5824
141,2017-04-01,4.366666666666667,1.9982187819765684,4.2,3.0,4.4016,2.3876
142,2017-07-01,4.333333333333333,2.73687003644143,4.1,2.7,4.1988,2.3628
143,2017-10-01,4.166666666666667,4.444066627721566,3.8,2.6,4.0933,2.5199
